ID	ID-2010033	ID-2010026	ID-2010030	ID-2010024	ID-2010018	ID-2010019	ID-2010025	ID-2010021	ID-2010034	ID-2010008	ID-2010022	ID-2010036	ID-2010023	ID-2030021	ID-2030009	ID-2020018	ID-2020019	ID-2020025	ID-2030020	ID-2020027	ID-2020026	ID-2020022	ID-2020023	ID-2030018	ID-2020021	ID-2020020	ID-2020008	ID-2030019	ID-2030014	ID-2020010	ID-2030017	ID-2030003	ID-2020013	ID-2030002	ID-2030006	ID-2020016	ID-2030007	ID-2030005	ID-2020014	ID-2020015	ID-2020029	ID-2030004	ID-2010006	ID-2010012	ID-2010013	ID-2010011	ID-2010005	ID-2010004	ID-2010010	ID-2010028	ID-2010015	ID-2010016	ID-2010002
arousal	1.613453925	1.124506623	1.115650356	1.429474771	1.145201325	1.049447477	1.138017237	1.656429827	0.903311431	1.74331075	1.339200914	1.464893281	1.031186253	1.3538059	1.161140591	1.243941724	1.05583626	1.293838978	3.644360423	1.151146591	1.177206755	0.883455694	1.25992018	1.059459567	1.007724315	0.972079456	1.656411052	1.082227886	1.200342655	0.895324349	1.650029838	2.343810737	1.778310359	1.530871868	1.102427155	1.386197627	1.233366847	2.878403485	1.31551832	1.926810801	1.039682209	1.095801115	1.580837369	0.845734105	1.274075508	0.943350166	2.248572469	1.700244784	1.009744853	1.026870936	1.68099761	4.182188869	0.932395011
valence	1.777646601	5.810992002	0.675377339	1.600873172	0.563661143	2.265024245	1.271186471	1.258013964	0.849477112	3.489300013	1.007560939	0.75939256	3.037842631	0.852694064	1.241216779	1.1490224	6.12351799	1.314593613	1.888242781	0.878320456	1.09932071	0.943894804	0.752219021	1.220272183	0.946583927	1.040142268	0.637504876	0.982828856	0.782151163	0.577840924	1.026853234	0.882282495	1.364155591	1.185445368	1.217568099	1.571346223	0.905147791	0.860337913	0.542222768	0.912021458	1.017878771	2.355763167	0.644446135	1.309269488	0.703027189	1.19238013	0.838878602	0.687151849	0.811397016	3.836417258	5.477519512	1.06763792	0.826070845
joy	0.770453215	0.755073756	0.372738823	1.635864556	0.341903567	0.46812883	0.5620974	0.425298698	0.318136558	1.289513588	0.334816188	0.420153879	0.583703637	0.340448752	0.839672327	0.83581689	0.674704254	0.776324481	0.863931298	0.731339574	0.818882555	0.501716584	0.442967668	0.520165622	0.370767161	0.485071227	0.467970684	0.381832026	3.189612687	0.745471269	3.37351495	1.153859705	0.538582295	0.453578644	0.842265189	0.72148338	1.187446505	1.627632856	1.574762017	0.605388403	0.678167075	0.919105768	0.581356511	0.39505963	0.664896548	0.475482047	0.42389062	0.685728639	0.490451574	2.32036221	0.365742266	0.872794002	0.634441674
familiarity	0.3420159	0.602284908	0.347959988	0.33886575	1.378175095	0.263962246	0.40472427	0.373245448	0.743089139	0.312841125	0.376111239	0.380638376	0.304521345	1.040155247	0.316611663	0.329287276	1.446032882	0.570719197	0.661207646	0.309976481	0.309788316	1.38389878	0.290696442	0.604820251	0.319538429	0.982096538	0.367495686	0.256088093	1.68833822	0.357694253	0.838389426	0.602576196	0.504318222	1.365674973	0.344944663	0.390619099	1.25082241	0.548014104	0.398363188	0.841749281	0.303202197	0.572337657	0.369426966	0.730723858	0.453844801	0.544023901	0.675259039	0.346093729	1.22381869	0.85007599	0.248369023	0.532097444	0.387110487
liking	0.349010617	0.363269076	0.54239586	0.202171683	0.41903536	0.329357371	0.410569862	0.626170486	0.662091166	0.275542021	0.401669234	0.564584374	0.454602689	0.577681988	0.828373164	0.697233498	0.330063865	0.47739777	0.614789218	0.718188643	0.575576365	2.590436041	0.671465665	0.650586754	0.300750546	0.395613581	0.307085127	0.974878401	0.717289299	0.947683394	0.445285201	0.622933269	0.562933892	0.611861825	0.375146419	0.645694256	0.470266432	0.415185019	0.683189034	0.330888823	0.754900753	2.141687721	0.283025049	0.53664729	0.421182752	0.356117085	1.190655559	0.579120666	0.66871801	2.354013652	0.244710453	0.328632563	0.422224194
tenderness	0.213522092	0.465819567	0.334254995	4.374823064	0.751331627	0.373795182	0.276771113	0.419201642	0.359383792	0.64073199	0.688470662	0.38293457	0.265434071	0.360567242	1.382835895	0.194154717	0.249993443	0.347116649	1.91639477	0.217788264	0.289176568	0.143483743	0.256312877	0.225924462	0.345697835	0.303496763	0.287156567	0.291121215	0.242616862	0.294051513	0.327939585	3.142895073	0.302784294	0.42479822	0.445277542	0.300188422	1.286376834	0.369048595	0.229388624	0.272945166	0.250023827	0.563959062	0.381239325	0.371709406	0.730251342	0.421967864	0.282313555	0.36014539	0.168390334	4.564483121	1.379261956	0.313702449	0.141047463
inspiration	0.396795869	0.393381208	0.893533647	0.547441065	0.597684592	0.879452184	0.647039443	0.268713042	0.543100253	0.505157202	0.8432163	0.745795682	1.691557288	0.691948071	0.434694797	0.327959582	0.732234091	0.748634949	0.728584379	2.013034791	2.345356449	0.624341398	0.703862563	0.384606704	0.713566244	0.392483234	0.201587021	0.392897516	0.705661744	0.713191062	0.820839092	0.861071467	0.93761979	1.09181568	0.438332066	0.694323838	0.973881781	0.94272913	0.509925351	0.591829255	1.003037483	0.561841145	0.417320505	0.906913981	2.756027952	0.527249277	0.506599084	0.694214314	0.689177528	0.260671332	0.535663202	0.475803703	2.294871405
amusement	1.471452646	0.166609719	0.779492915	0.442629382	0.409529835	0.758958109	0.335554481	3.376365907	0.489236556	0.62443535	1.631405063	0.437783331	0.257585347	0.534433171	0.597791627	0.987546518	0.682236314	1.393516749	0.263331912	0.561064564	0.645957515	0.403164908	0.429180577	1.088294327	0.713739902	0.299082384	0.279043034	0.268244632	0.51173085	0.874673851	0.693789281	0.811477698	1.157860287	0.644877672	0.456157193	0.335940778	0.704571858	0.615750574	1.229045317	0.847416572	0.516287282	0.478054062	0.509918228	0.767979629	0.777676642	0.21908544	0.644600675	0.518862896	0.608035296	0.467957377	2.654287279	0.298555583	0.282705322
anger	5.165616274	5.051672697	3.522633553	3.91798532	4.842875719	4.8597579	5.043866873	4.775089979	4.177100658	4.09473598	4.849346757	5.30966568	5.023558378	5.605494142	5.185615778	4.306089282	5.11923027	5.134384513	5.161388516	6.155458927	5.276431084	6.189489603	3.304855108	6.274484277	5.649809837	4.083890676	4.076636791	5.016087055	5.158456326	5.73470211	4.935705662	4.918773174	4.272828817	5.057168484	5.244991064	4.945608377	5.744391441	5.418688297	5.166600227	5.4494524	5.445585966	4.111351013	4.91657877	5.443093538	2.893819809	5.39676857	4.868468046	5.448582768	5.644952059	7.811962008	3.901823401	5.060732961	6.175156116
fear	4.518206954	4.001082182	4.920661926	3.713671863	6.508553505	4.32219553	4.020088792	4.331792355	4.255578876	5.033652306	5.680841923	4.391468287	3.738832235	4.163161635	4.20345664	4.222109675	5.611185789	5.083089113	6.553383827	4.051073909	4.258189917	6.52987361	4.07036972	6.069857121	5.766313553	5.723034143	5.547274828	4.874529719	4.315791011	5.504507542	5.389147758	5.81455636	5.281642199	5.130974293	4.350760221	3.818398833	6.261879683	4.364453316	6.528844833	4.21064651	5.027622461	5.95687294	4.08174777	4.722560406	4.403535008	4.493430138	4.004263282	4.354601979	4.909852028	5.361552954	3.616518229	4.60479033	5.941841125
